index,Date,Price,Open,High,Low,Volume,Percentage_change,Currency_Type
1152,2019-05-06,173.0,163.03,176.98,159.66,12970000.0,6.11,Ethereum
1153,2019-05-07,169.34,172.99,181.39,169.06,15230000.0,-2.11,Ethereum
1154,2019-05-08,170.77,169.34,172.68,165.7,9750000.0,0.84,Ethereum
1155,2019-05-09,170.84,170.76,173.28,167.03,10030000.0,0.04,Ethereum
1156,2019-05-10,172.77,170.85,175.78,168.86,12730000.0,1.13,Ethereum
1157,2019-05-11,192.27,172.78,204.72,172.75,20900000.0,11.28,Ethereum
1158,2019-05-12,188.07,192.17,202.93,182.81,18520000.0,-2.18,Ethereum
1159,2019-05-13,196.02,188.09,206.1,185.69,14800000.0,4.22,Ethereum
1160,2019-05-14,217.42,196.0,220.02,195.22,16800000.0,10.92,Ethereum
1161,2019-05-15,248.15,217.34,249.78,217.32,18660000.0,14.13,Ethereum
1162,2019-05-16,264.69,248.14,278.52,244.27,25140000.0,6.66,Ethereum
1163,2019-05-17,244.45,264.68,267.8,224.62,22540000.0,-7.65,Ethereum
1164,2019-05-18,233.89,244.38,247.84,232.13,13930000.0,-4.32,Ethereum
1165,2019-05-19,259.63,233.87,263.05,232.85,14380000.0,11.01,Ethereum
1166,2019-05-20,250.72,259.68,259.68,238.64,12380000.0,-3.43,Ethereum
1167,2019-05-21,253.76,250.72,261.59,246.85,10240000.0,1.21,Ethereum
1168,2019-05-22,244.34,253.7,259.7,241.68,10830000.0,-3.71,Ethereum
1169,2019-05-23,244.68,244.35,247.3,231.89,13070000.0,0.14,Ethereum
1170,2019-05-24,249.17,244.68,254.22,241.74,10070000.0,1.83,Ethereum
1171,2019-05-25,250.68,249.2,256.9,247.9,8580000.0,0.61,Ethereum
1172,2019-05-26,264.68,250.69,268.75,245.92,10060000.0,5.59,Ethereum
1173,2019-05-27,270.98,264.66,279.07,262.96,11580000.0,2.38,Ethereum
1174,2019-05-28,271.18,270.97,275.39,265.5,9350000.0,0.08,Ethereum
1175,2019-05-29,268.61,271.16,273.72,260.85,22330000.0,-0.95,Ethereum
1176,2019-05-30,254.52,268.62,287.99,241.51,15520000.0,-5.24,Ethereum
1177,2019-05-31,267.99,254.57,268.7,246.61,11630000.0,5.29,Ethereum
1178,2019-06-01,264.31,267.94,274.94,261.14,9060000.0,-1.37,Ethereum
1179,2019-06-02,269.01,264.26,272.64,263.59,7310000.0,1.78,Ethereum
1180,2019-06-03,250.37,269.03,269.77,248.77,9230000.0,-6.93,Ethereum
1181,2019-06-04,241.26,250.26,251.47,235.35,11390000.0,-3.64,Ethereum
1182,2019-06-05,245.83,241.27,248.24,237.94,8640000.0,1.89,Ethereum
1183,2019-06-06,248.54,245.81,250.0,236.4,7720000.0,1.1,Ethereum
1184,2019-06-07,248.98,248.63,253.12,244.33,7410000.0,0.18,Ethereum
1185,2019-06-08,243.42,248.98,250.51,241.09,6230000.0,-2.23,Ethereum
1186,2019-06-09,231.27,243.43,244.36,227.0,7800000.0,-4.99,Ethereum
1187,2019-06-10,246.86,231.21,246.99,227.38,8390000.0,6.74,Ethereum
1188,2019-06-11,244.41,246.85,247.77,237.6,6920000.0,-0.99,Ethereum
1189,2019-06-12,261.54,244.38,261.67,242.57,7890000.0,7.01,Ethereum
1190,2019-06-13,254.86,261.38,262.47,254.02,7300000.0,-2.55,Ethereum
1191,2019-06-14,262.53,254.89,268.81,252.01,6870000.0,3.01,Ethereum
1192,2019-06-15,267.75,262.53,271.61,260.92,6520000.0,1.99,Ethereum
1193,2019-06-16,267.98,267.74,282.75,263.96,8660000.0,0.09,Ethereum
1194,2019-06-17,273.0,268.0,274.14,266.96,7410000.0,1.87,Ethereum
1195,2019-06-18,264.59,273.02,273.26,261.76,7390000.0,-3.08,Ethereum
1196,2019-06-19,268.26,264.59,269.79,263.61,6230000.0,1.39,Ethereum
1197,2019-06-20,271.43,268.26,273.18,264.83,7040000.0,1.18,Ethereum
1198,2019-06-21,294.72,271.45,295.72,271.45,11060000.0,8.58,Ethereum
1199,2019-06-22,310.38,294.69,314.0,292.09,10690000.0,5.31,Ethereum
1200,2019-06-23,308.53,310.39,320.79,306.12,8490000.0,-0.59,Ethereum
1201,2019-06-24,311.46,308.51,313.67,297.9,7100000.0,0.95,Ethereum
1202,2019-06-25,317.65,311.47,318.49,307.75,8510000.0,1.99,Ethereum
1203,2019-06-26,338.54,317.65,364.89,315.99,15730000.0,6.58,Ethereum
1204,2019-06-27,297.55,338.54,345.83,279.82,16129999.999999998,-12.11,Ethereum
1205,2019-06-28,310.56,297.73,312.7,295.3,9930000.0,4.37,Ethereum
1206,2019-06-29,318.48,310.52,324.13,295.44,9030000.0,2.55,Ethereum
1207,2019-06-30,292.21,318.26,323.21,290.78,9820000.0,-8.25,Ethereum
1208,2019-07-01,294.83,292.23,303.0,280.35,9570000.0,0.9,Ethereum
1209,2019-07-02,291.41,294.87,297.0,273.07,10300000.0,-1.16,Ethereum
1210,2019-07-03,300.58,291.48,301.64,289.39,7900000.0,3.14,Ethereum
1211,2019-07-04,283.43,300.51,301.56,281.18,7260000.0,-5.7,Ethereum
1212,2019-07-05,287.15,283.36,293.61,281.92,7800000.0,1.31,Ethereum
1213,2019-07-06,288.08,287.16,296.06,285.61,7560000.0,0.32,Ethereum
1214,2019-07-07,304.88,288.11,309.42,285.28,8430000.0,5.83,Ethereum
1215,2019-07-08,312.23,304.87,313.15,301.6,8500000.0,2.41,Ethereum
1216,2019-07-09,307.41,312.23,317.94,303.38,9130000.0,-1.54,Ethereum
1217,2019-07-10,289.1,307.44,313.81,281.53,12440000.0,-5.96,Ethereum
1218,2019-07-11,268.72,289.13,289.14,263.08,11360000.0,-7.05,Ethereum
1219,2019-07-12,274.68,268.72,278.33,266.81,7950000.0,2.22,Ethereum
1220,2019-07-13,269.16,274.68,275.04,262.85,7840000.0,-2.01,Ethereum
1221,2019-07-14,226.62,269.12,269.62,223.95,11860000.0,-15.8,Ethereum
1222,2019-07-15,228.49,226.56,235.43,204.39,14590000.0,0.82,Ethereum
1223,2019-07-16,198.87,228.49,234.41,193.48,14520000.0,-12.96,Ethereum
1224,2019-07-17,210.95,198.88,219.13,192.91,13510000.0,6.07,Ethereum
1225,2019-07-18,225.23,210.95,228.42,206.47,12650000.0,6.77,Ethereum
1226,2019-07-19,220.09,225.23,225.68,213.57,9380000.0,-2.28,Ethereum
1227,2019-07-20,227.86,220.11,233.7,219.8,9120000.0,3.53,Ethereum
1228,2019-07-21,225.01,227.83,228.76,217.72,8500000.0,-1.25,Ethereum
1229,2019-07-22,217.27,225.03,227.47,212.46,8600000.0,-3.44,Ethereum
1230,2019-07-23,211.87,217.27,218.03,208.31,8700000.0,-2.49,Ethereum
1231,2019-07-24,215.44,211.86,217.02,202.3,9720000.0,1.69,Ethereum
1232,2019-07-25,217.65,215.45,224.05,214.79,8420000.0,1.02,Ethereum
1233,2019-07-26,217.83,217.65,218.65,212.07,6960000.0,0.09,Ethereum
1234,2019-07-27,206.62,217.8,222.7,203.5,8550000.0,-5.15,Ethereum
1235,2019-07-28,210.37,206.64,212.01,199.68,7540000.0,1.81,Ethereum
1236,2019-07-29,209.82,210.39,214.45,207.37,7200000.0,-0.26,Ethereum
1237,2019-07-30,208.49,209.81,212.88,204.54,7150000.0,-0.63,Ethereum
1238,2019-07-31,217.23,208.49,218.19,208.17,7510000.0,4.19,Ethereum
1239,2019-08-01,216.37,217.23,217.55,211.23,7090000.0,-0.4,Ethereum
1240,2019-08-02,216.54,216.37,220.84,213.93,7560000.0,0.08,Ethereum
1241,2019-08-03,220.89,216.52,223.0,215.52,6990000.0,2.01,Ethereum
1242,2019-08-04,220.72,220.89,222.21,216.31,6510000.0,-0.08,Ethereum
1243,2019-08-05,232.45,220.76,235.0,220.75,9790000.0,5.31,Ethereum
1244,2019-08-06,225.63,232.45,237.47,222.46,9350000.0,-2.93,Ethereum
1245,2019-08-07,224.66,225.62,229.22,220.62,7900000.0,-0.43,Ethereum
1246,2019-08-08,220.16,224.68,226.11,215.57,7540000.0,-2.0,Ethereum
1247,2019-08-09,209.49,220.12,220.49,206.4,9660000.0,-4.84,Ethereum
1248,2019-08-10,205.93,209.46,213.53,202.35,8700000.0,-1.7,Ethereum
1249,2019-08-11,215.83,205.92,216.23,205.64,7630000.0,4.81,Ethereum
1250,2019-08-12,210.45,215.84,215.97,209.49,7940000.0,-2.49,Ethereum
1251,2019-08-13,207.68,210.48,211.01,106.01,18290000.0,-1.32,Ethereum
1252,2019-08-14,186.56,207.68,209.43,183.74,12460000.0,-10.17,Ethereum
1253,2019-08-15,187.8,186.59,189.3,176.08,14030000.0,0.66,Ethereum
1254,2019-08-16,184.55,187.67,188.03,179.35,11330000.0,-1.73,Ethereum
1255,2019-08-17,184.81,184.55,186.12,181.58,8780000.0,0.14,Ethereum
1256,2019-08-18,193.68,184.83,197.17,182.96,9110000.0,4.8,Ethereum
1257,2019-08-19,201.64,193.67,202.81,192.33,8140000.000000001,4.11,Ethereum
1258,2019-08-20,196.14,201.65,201.96,194.55,10010000.0,-2.73,Ethereum
1259,2019-08-21,187.24,196.15,196.78,181.29,12980000.0,-4.54,Ethereum
1260,2019-08-22,190.29,187.27,194.42,182.97,9970000.0,1.63,Ethereum
1261,2019-08-23,193.43,190.29,195.32,175.8,8560000.0,1.65,Ethereum
1262,2019-08-24,190.15,193.42,193.47,186.13,8380000.000000001,-1.7,Ethereum
1263,2019-08-25,186.3,190.16,191.49,182.81,7580000.0,-2.02,Ethereum
1264,2019-08-26,188.34,186.32,193.09,186.02,9020000.0,1.09,Ethereum
1265,2019-08-27,186.58,188.36,188.61,184.26,7190000.0,-0.93,Ethereum
1266,2019-08-28,172.85,186.6,187.13,167.57,9720000.0,-7.36,Ethereum
1267,2019-08-29,168.66,172.85,173.05,164.04,9550000.0,-2.43,Ethereum
1268,2019-08-30,168.16,168.68,170.27,165.38,7490000.0,-0.29,Ethereum
1269,2019-08-31,171.62,168.14,174.43,166.16,7890000.0,2.06,Ethereum
1270,2019-09-01,169.72,171.62,173.22,167.08,7800000.0,-1.11,Ethereum
1271,2019-09-02,178.11,169.72,180.56,169.45,9270000.0,4.94,Ethereum
1272,2019-09-03,178.81,178.1,182.59,175.37,9030000.0,0.39,Ethereum
1273,2019-09-04,174.79,178.82,180.06,173.85,7550000.0,-2.25,Ethereum
1274,2019-09-05,173.83,174.8,175.56,170.54,7400000.0,-0.55,Ethereum
1275,2019-09-06,169.15,173.82,177.79,166.16,9980000.0,-2.7,Ethereum
1276,2019-09-07,177.74,169.14,180.63,168.42,9050000.0,5.08,Ethereum
1277,2019-09-08,181.44,177.76,183.42,177.36,8340000.0,2.08,Ethereum
1278,2019-09-09,180.65,181.45,184.76,176.25,9640000.0,-0.44,Ethereum
1279,2019-09-10,180.05,180.64,184.16,177.44,8270000.0,-0.33,Ethereum
1280,2019-09-11,178.47,180.05,182.27,174.86,10660000.0,-0.88,Ethereum
1281,2019-09-12,180.87,178.48,182.37,176.85,7190000.0,1.35,Ethereum
1282,2019-09-13,181.11,180.87,181.53,177.79,7680000.0,0.13,Ethereum
1283,2019-09-14,188.16,181.06,188.54,180.09,8630000.0,3.89,Ethereum
1284,2019-09-15,189.1,188.17,190.23,185.92,7300000.0,0.5,Ethereum
1285,2019-09-16,197.32,189.1,198.82,188.68,10010000.0,4.35,Ethereum
1286,2019-09-17,207.77,197.33,214.45,195.95,11690000.0,5.29,Ethereum
